species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Adiantum_trapeziforme,MH019414,NA,NA,MH019642,NA,NA,NA,NA,voucher,dukerothfels2650,NA,FALSE
Adiantum_tricholepis,NA,NA,NA,NA,NA,NA,NA,MH173071,NA,NA,NA,FALSE
Adiantum_tuomistoanum,NA,NA,NA,KJ628610,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Adiantum_urophyllum,MH019415,NA,NA,MH019643,NA,NA,NA,NA,voucher,mocroat99951,NA,FALSE
Adiantum_variopinnatum,NA,NA,NA,MZ272321,NA,NA,MZ272269,NA,voucher,maprgrafals094,NA,FALSE
Adiantum_venustum,JF937247,JF935371,NA,JF935294,JF980556,JF980556,JF980639,NA,voucher,jmlu216,NA,FALSE
Adiantum_villosissimum,MH019417,NA,NA,MH019646,NA,NA,NA,NA,voucher,nymoran7633,NA,FALSE
Adiantum_villosum,MH019418,NA,NA,MH019647,NA,NA,NA,NA,voucher,uchuiet108,NA,FALSE
Adiantum_viridescens,JF937309,JF935436,NA,JF935354,JF980620,JF980620,JF980699,NA,voucher,jwen10783,NA,FALSE
Adiantum_viridimontanum,JF937302,JF935429,NA,JF935347,JF980613,JF980613,JF980692,NA,voucher,paris856,NA,FALSE
Adiantum_vogelii,MH019419,NA,NA,MH019648,NA,NA,NA,NA,voucher,ucschmidt2216,NA,FALSE
Adiantum_wattii,JF937244,JF935368,NA,JF935291,JF980553,JF980553,JF980637,NA,voucher,jmlu222,NA,FALSE
Adiantum_wilesianum,MH019421,NA,NA,MH019650,NA,NA,NA,NA,voucher,uccowan4691,NA,FALSE
Adiantum_wilsonii,MH019422,NA,NA,MH019651,NA,NA,NA,NA,voucher,movanderwerff22298,NA,FALSE
Adiantum_windischii,NA,NA,NA,KJ628617,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Alansmia_cultrata,NA,GU376476,NA,GU376496,NA,JN654943,JN654969,NA,voucher,sundue1214,NA,FALSE
Alansmia_elastica,NA,KY711748,NA,KY711922,NA,KY712249,KY711575,NA,voucher,hennequin339,NA,FALSE
Alansmia_heteromorpha,NA,NA,NA,KM218803,NA,NA,NA,NA,unjoined,sundue2609,Global phylogeny and biogeography of grammitid ferns,FALSE
Alansmia_lanigera,NA,GU476809,NA,GU476844,NA,NA,GU476718,NA,voucher,bleon3647,NA,FALSE
Alansmia_senilis,NA,GU376474,NA,GU376498,NA,JN654941,JN654967,NA,voucher,sundue1156,NA,FALSE
Alansmia_smithii,NA,NA,NA,MK319096,NA,NA,MK318994,NA,voucher,evanslellingerbowes34,NA,FALSE
Alansmia_stella,NA,GU376473,NA,GU376499,NA,JN654939,JN654965,NA,voucher,sundue1083,NA,FALSE
Alansmia_turrialbae,NA,GU376472,NA,GU376497,NA,JN654944,JN654970,NA,voucher,sundue1765,NA,FALSE
Aleuritopteris_albofusca,NA,NA,KP031668,U19498,KP126983,KP126983,DQ432677,NA,monophy,NA,NA,FALSE
Aleuritopteris_albomarginata,NA,NA,NA,AY266411,NA,NA,NA,NA,unjoined,NA,Phylogeny of cryptogrammoid ferns and related taxa based on rbcL,FALSE
Aleuritopteris_anceps,NA,NA,NA,KP085547,KP085562,KP085562,KP085519,NA,voucher,m2012071701,NA,FALSE
Aleuritopteris_argentea,EU268719,EF452016,NA,EF452137,NA,NA,NA,NA,voucher,yatskievych0123,NA,FALSE
Aleuritopteris_bicolor,NA,NA,NA,MT727036,NA,NA,NA,NA,unjoined,NA,Systematic Studies On The Pteridophytes Of Gujarat With Their,FALSE
Aleuritopteris_chrysophylla,NA,NA,KP031647,KP126957,NA,NA,KP085526,NA,voucher,hn2012122009,NA,FALSE
Aleuritopteris_dubia,NA,NA,NA,LC496742,NA,NA,NA,NA,unjoined,hitbcmeg18y90,Resolving the Enigma of Fern Genome Evolution: from Genomic,FALSE
Aleuritopteris_duclouxii,NA,NA,KP031656,KP085550,KP126975,KP126975,KP085525,NA,voucher,m2012071804,NA,FALSE
Aleuritopteris_farinosa,EU268720,NA,NA,EU268770,NA,NA,NA,NA,voucher,windham541,NA,FALSE
Aleuritopteris_formosana,NA,NA,NA,DQ432643,NA,NA,DQ432671,NA,voucher,gangminzhang458,NA,FALSE
Aleuritopteris_grevilleoides,NA,NA,NA,NA,NA,NA,NA,MT130598,NA,NA,NA,FALSE
Aleuritopteris_grisea,NA,NA,NA,AY299653,NA,NA,NA,NA,unjoined,NA,Phylogeny of Cryptogrammoid Ferns and Related Taxa Based on rbcL,FALSE
Aleuritopteris_krameri,NA,NA,NA,AB574809,NA,NA,NA,NA,unjoined,tns766462,Molecular species identification with rich floristic sampling: DNA,FALSE
Aleuritopteris_leptolepis,NA,NA,NA,DQ432646,NA,NA,DQ432673,NA,voucher,gangminzhang328,NA,FALSE
Aleuritopteris_niphobola,NA,NA,KP031653,KP085548,KP126972,KP126972,DQ432670,NA,monophy,NA,NA,FALSE
Aleuritopteris_rosulata,NA,NA,NA,NA,NA,NA,KP085522,NA,unjoined,NA,NA,FALSE
Aleuritopteris_rufa,NA,NA,KP031659,KP126962,KP126977,KP126977,KP137492,NA,voucher,2013082915,NA,FALSE
Aleuritopteris_scioana,MK632502,NA,NA,MK632714,NA,NA,NA,NA,voucher,dukerothfels4287,NA,FALSE
Aleuritopteris_squamosa,NA,NA,NA,DQ432642,NA,NA,NA,NA,unjoined,shiyongdong28,First insights in the phylogeny of Asian cheilanthoid ferns based,FALSE
Aleuritopteris_subargentea,NA,NA,KP031655,KP126960,KP126974,KP126974,KP085524,NA,voucher,m2012072007,NA,FALSE
Aleuritopteris_tamburii,NA,NA,NA,DQ432644,NA,NA,DQ432666,NA,voucher,gangminzhang434,NA,FALSE
Aleuritopteris_veitchii,NA,NA,KP031654,KP126959,KP126973,KP126973,KP085523,NA,voucher,m2012070708,NA,FALSE
Alsophila_abbottii,NA,NA,NA,NA,NA,NA,MN155369,NA,unjoined,NA,NA,FALSE
Alsophila_acaulis,NA,NA,NA,NA,NA,NA,NA,MT726940,NA,NA,NA,FALSE
Alsophila_acrostichoides,NA,NA,NA,NA,NA,NA,MN155659,NA,unjoined,NA,NA,FALSE
Alsophila_acutula,NA,NA,NA,AM495725,NA,NA,AM689621,NA,voucher,janssen2849,NA,FALSE
Alsophila_albidosquamata,NA,NA,NA,NA,NA,NA,MN155371,NA,unjoined,NA,NA,FALSE
Alsophila_alta,NA,NA,NA,KP338009,NA,NA,NA,NA,unjoined,wade3435,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_andersonii,NA,NA,NA,KY858724,NA,NA,KY858893,NA,voucher,zuo100,NA,FALSE
Alsophila_andohahelensis,NA,NA,NA,AM495727,NA,NA,AM689623,NA,voucher,janssen2814,NA,FALSE
Alsophila_annae,NA,NA,NA,NA,NA,NA,MN155662,NA,unjoined,NA,NA,FALSE
Alsophila_apoensis,NA,NA,NA,NA,NA,NA,MN155374,NA,unjoined,NA,NA,FALSE
Alsophila_appendiculata,NA,NA,NA,AM495728,NA,NA,AM689624,NA,voucher,janssen2764,NA,FALSE
Alsophila_approximata,NA,NA,NA,AM495729,NA,NA,AM689625,NA,voucher,janssen2449,NA,FALSE
Alsophila_archboldii,NA,NA,NA,KP338007,NA,NA,NA,NA,unjoined,wade3388,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_auriculata,NA,NA,NA,AM495730,NA,NA,AM689626,NA,voucher,janssen2508,NA,FALSE
Alsophila_australis,AM176419,AM176580,NA,AM177319,AM176475,AM176475,NA,NA,publication,NA,tree ferns: monophyletic groups and their relationships as revealed,FALSE
Alsophila_austroyunnanensis,NA,NA,NA,KY858726,NA,NA,KY858895,NA,voucher,dong4600,NA,FALSE
Alsophila_baileyana,NA,NA,MF178049,NA,NA,NA,MF066473,NA,monophy,NA,NA,FALSE
Alsophila_bellisquamata,NA,NA,NA,AM495733,NA,NA,AM689629,NA,voucher,rakotondrainibe6388,NA,FALSE
Alsophila_biformis,NA,NA,NA,NA,NA,NA,MN155665,NA,unjoined,NA,NA,FALSE
Alsophila_boiviniiformis,NA,NA,NA,AM495748,NA,NA,NA,NA,unjoined,janssen2797,"Neoendemism in Madagascan scaly tree ferns results from recent,",FALSE
Alsophila_borbonica,NA,NA,NA,AM495742,NA,NA,AM689638,NA,voucher,janssen2697,NA,FALSE
Alsophila_borneensis,NA,NA,NA,KP337949,NA,NA,NA,NA,unjoined,korall200665,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_brevipinna,NA,NA,NA,JF950805,NA,NA,JF950907,NA,voucher,nswpapadopulosap785,NA,FALSE
Alsophila_brooksii,NA,NA,NA,NA,NA,NA,MN155376,NA,unjoined,NA,NA,FALSE
Alsophila_bryophila,AM176420,AM176581,NA,AM177320,AM176476,AM176476,NA,NA,voucher,conant4322,NA,FALSE
Alsophila_bullata,NA,NA,NA,AM495775,NA,NA,AM689673,NA,voucher,rakotondrainibe6612,NA,FALSE
Alsophila_camerooniana,NA,NA,NA,NA,NA,NA,MN155378,NA,unjoined,NA,NA,FALSE
Alsophila_capensis,AM176421,AM176582,NA,AM177321,AM176477,AM176477,MH213731,NA,monophy,NA,NA,FALSE
Alsophila_catillifera,NA,NA,NA,NA,NA,NA,MN155379,NA,unjoined,NA,NA,FALSE
Alsophila_celsa,NA,NA,NA,AM495765,NA,NA,AM689663,NA,voucher,janssen2730,NA,FALSE
Alsophila_coactilis,NA,NA,NA,AM410205,NA,NA,AM410336,NA,voucher,conant4589,NA,FALSE
Alsophila_colensoi,AM176422,AM176583,NA,AM177322,AM176478,AM176478,AM410318,NA,monophy,NA,NA,FALSE
Alsophila_conantiana,NA,NA,NA,NA,NA,NA,MN155391,NA,unjoined,NA,NA,FALSE
Alsophila_costalisora,NA,NA,NA,NA,NA,NA,MN155392,NA,unjoined,NA,NA,FALSE
Alsophila_costularis,NA,NA,NA,NA,NA,NA,NA,MH684489,NA,NA,NA,FALSE
Alsophila_crenulata,NA,NA,NA,KP337994,NA,NA,NA,NA,unjoined,kuo2808,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_crinita,NA,NA,NA,KF924261,NA,NA,NA,NA,unjoined,xch25424,Phytochemical and molecular characterization of selected Cyathea,FALSE
Alsophila_cunninghamii,NA,NA,NA,AM410211,NA,NA,AM410339,NA,voucher,shirley06,NA,FALSE
Alsophila_cuspidata,AM176423,AM176584,NA,AM177323,AM176479,AM176479,NA,NA,voucher,conant4427,NA,FALSE
Alsophila_dealbata,NA,NA,NA,AM410199,NA,NA,AM410326,NA,voucher,shirley05,NA,FALSE
Alsophila_decrescens,NA,NA,NA,NA,NA,NA,AM689651,NA,unjoined,NA,NA,FALSE
Alsophila_dicksonioides,NA,NA,NA,KP337963,NA,NA,NA,NA,unjoined,rdhooglandrschodde7506,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_dimorpha,NA,NA,NA,NA,NA,NA,MN155669,NA,unjoined,NA,NA,FALSE
Alsophila_dregei,EF463630,EF463360,NA,AM410194,NA,NA,AM410315,NA,voucher,shirley13,NA,FALSE
Alsophila_dryopteroides,NA,NA,NA,NA,NA,NA,MN155373,NA,unjoined,NA,NA,FALSE
Alsophila_edanoi,NA,NA,NA,NA,NA,NA,MN155397,NA,unjoined,NA,NA,FALSE
Alsophila_emilei,NA,NA,NA,AM495763,NA,NA,AM689661,NA,voucher,janssen2611,NA,FALSE
Alsophila_engelii,NA,NA,NA,NA,NA,NA,MN155399,NA,unjoined,NA,NA,FALSE
Alsophila_erinacea,NA,NA,NA,MW138272,NA,NA,NA,NA,unjoined,jhnitta709,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Alsophila_esmeraldensis,NA,NA,NA,NA,NA,NA,MN155402,NA,unjoined,NA,NA,FALSE
Alsophila_everta,NA,NA,NA,NA,NA,NA,MN155403,NA,unjoined,NA,NA,FALSE
Alsophila_exilis,NA,NA,NA,NA,NA,NA,MN155404,NA,unjoined,NA,NA,FALSE
Alsophila_ferdinandii,NA,NA,NA,AM410204,NA,NA,AM410335,NA,voucher,conant4666,NA,FALSE
Alsophila_firma,NA,NA,NA,MW138143,NA,NA,NA,NA,unjoined,jhnitta888,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Alsophila_foersteri,AM176424,AM176585,NA,AM177324,AM176480,AM176480,AM410324,NA,voucher,conant4646,NA,FALSE
Alsophila_fulgens,NA,NA,NA,NA,NA,NA,MN155406,NA,unjoined,NA,NA,FALSE
Alsophila_geluensis,NA,NA,NA,KP337957,NA,NA,NA,NA,unjoined,conant4660,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_gigantea,NA,NA,NA,NA,NA,NA,NA,MH603068,NA,NA,NA,FALSE
Alsophila_glabra,NA,NA,NA,MT295630,NA,NA,MT295716,NA,voucher,dong48931,NA,FALSE
Alsophila_glaucifolia,NA,NA,NA,AM495771,NA,NA,AM689669,NA,voucher,janssen2727,NA,FALSE
Alsophila_grangaudiana,NA,NA,NA,AM495774,NA,NA,AM689672,NA,voucher,janssen2742,NA,FALSE
Alsophila_havilandii,NA,NA,NA,AM410189,NA,NA,NA,NA,unjoined,conant4694,A molecular phylogeny of scaly tree ferns (Cyatheaceae),FALSE
Alsophila_hebes,NA,NA,NA,AM495804,NA,NA,AM689703,NA,voucher,janssen2487,NA,FALSE
Alsophila_hooglandii,AM176425,AM176586,NA,AM177325,AM176481,AM176481,AM410306,NA,voucher,conant4650,NA,FALSE
Alsophila_hookeri,NA,NA,NA,AM495777,NA,NA,AM689675,NA,voucher,janssen3022,NA,FALSE
Alsophila_hornei,NA,NA,NA,KP338005,NA,NA,NA,NA,unjoined,wade3256,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_humilis,NA,NA,NA,AM495778,NA,NA,AM689676,NA,voucher,janssen2644,NA,FALSE
Alsophila_hyacinthei,NA,NA,NA,AM495751,NA,NA,AM689647,NA,voucher,janssen2565,NA,FALSE
Alsophila_hymenodes,NA,NA,NA,KP337946,NA,NA,NA,NA,unjoined,korall200642,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_impolita,NA,NA,NA,AM495779,NA,NA,AM689677,NA,voucher,janssen2596,NA,FALSE
Alsophila_imrayana,NA,NA,NA,AM410202,NA,NA,AM410329,NA,voucher,conant4466,NA,FALSE
Alsophila_incana,NA,NA,NA,NA,NA,NA,MN155415,NA,unjoined,NA,NA,FALSE
Alsophila_katoi,NA,NA,NA,NA,NA,NA,MN155416,NA,unjoined,NA,NA,FALSE
Alsophila_kermadecensis,NA,NA,NA,KR153993,NA,NA,KR153995,NA,voucher,weltp027384,NA,FALSE
Alsophila_khasyana,NA,NA,NA,KY858735,NA,NA,KY858905,NA,voucher,dong4403,NA,FALSE
Alsophila_kirkii,NA,NA,NA,AM495781,NA,NA,AM689679,NA,voucher,rakotondrainibe6751,NA,FALSE
Alsophila_klossii,NA,EU352271,NA,EU352299,NA,NA,NA,NA,voucher,johns9728,NA,FALSE
Alsophila_lastii,NA,NA,NA,AM495782,NA,NA,AM689680,NA,voucher,janssen2430,NA,FALSE
Alsophila_latebrosa,NA,NA,NA,NA,NA,NA,NA,MW620065,NA,NA,NA,FALSE
Alsophila_ligulata,NA,NA,NA,AM495783,NA,NA,AM689681,NA,voucher,janssen2494,NA,FALSE
Alsophila_loheri,NA,NA,NA,KY858719,NA,NA,KY858888,NA,voucher,wade3833,NA,FALSE
Alsophila_longipinnata,NA,NA,NA,AM495785,NA,NA,AM689683,NA,voucher,janssen2509,NA,FALSE
Alsophila_longispina,NA,NA,NA,AM495801,NA,NA,AM689700,NA,voucher,janssen2916,NA,FALSE
Alsophila_lurida,NA,NA,NA,KP337945,NA,NA,MN155675,NA,monophy,NA,NA,FALSE
Alsophila_macgillivrayi,NA,NA,NA,NA,NA,NA,MN155421,NA,unjoined,NA,NA,FALSE
Alsophila_macgregorii,NA,NA,NA,KP337964,NA,NA,NA,NA,unjoined,sands1733,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_manniana,NA,NA,NA,AM495787,NA,NA,MN155424,NA,monophy,NA,NA,FALSE
Alsophila_marattioides,NA,NA,NA,AM495788,NA,NA,AM689686,NA,voucher,janssen2484,NA,FALSE
Alsophila_marcescens,NA,NA,NA,NA,NA,NA,MN155463,NA,unjoined,NA,NA,FALSE
Alsophila_matitanensis,NA,NA,NA,AM495786,NA,NA,AM689684,NA,voucher,janssen2829,NA,FALSE
Alsophila_media,NA,NA,NA,KP337968,NA,NA,NA,NA,unjoined,croft1205,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_melleri,NA,NA,NA,AM495790,NA,NA,AM689688,NA,voucher,janssen2789,NA,FALSE
Alsophila_meridionalis,NA,NA,NA,AM495796,NA,NA,AM689695,NA,voucher,janssen2603,NA,FALSE
Alsophila_metteniana,NA,NA,NA,NA,NA,NA,NA,MN795320,NA,NA,NA,FALSE
Alsophila_micra,NA,NA,NA,NA,NA,NA,MN155426,NA,unjoined,NA,NA,FALSE
Alsophila_microphylloides,NA,NA,NA,KP337953,NA,NA,MN155428,NA,monophy,NA,NA,FALSE
Alsophila_milnei,NA,NA,NA,KR153992,NA,NA,KR153994,NA,voucher,weltp027383,NA,FALSE
Alsophila_minor,NA,NA,NA,NA,NA,NA,MN155429,NA,unjoined,NA,NA,FALSE
Alsophila_mostellaria,NA,NA,NA,NA,NA,NA,MN155430,NA,unjoined,NA,NA,FALSE
Alsophila_muelleri,NA,NA,NA,NA,NA,NA,MN155431,NA,unjoined,NA,NA,FALSE
Alsophila_nigrolineata,NA,NA,NA,AM410206,NA,NA,AM410337,NA,voucher,conant4636,NA,FALSE
Alsophila_nilgirensis,NA,NA,NA,MK573827,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Alsophila_odonelliana,NA,NA,NA,NA,NA,NA,MN155433,NA,unjoined,NA,NA,FALSE
Alsophila_ogurae,NA,NA,NA,AB574754,NA,NA,NA,NA,unjoined,tns763924,Molecular species identification with rich floristic sampling: DNA,FALSE
Alsophila_olivacea,NA,NA,NA,NA,NA,NA,MN155677,NA,unjoined,NA,NA,FALSE
Alsophila_oosora,NA,NA,NA,AM410209,NA,NA,NA,NA,unjoined,conant4695,A molecular phylogeny of scaly tree ferns (Cyatheaceae),FALSE
Alsophila_orientalis,NA,NA,NA,NA,NA,NA,MN155435,NA,unjoined,NA,NA,FALSE
Alsophila_pachyrrhachis,NA,NA,NA,AM410186,NA,NA,AM410305,NA,voucher,conant4595,NA,FALSE
Alsophila_paucifolia,NA,NA,NA,NA,NA,NA,MN155436,NA,unjoined,NA,NA,FALSE
Alsophila_percrassa,NA,NA,NA,KP337969,NA,NA,NA,NA,unjoined,rdhooglandrschodde7207,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_perpelvigera,NA,NA,NA,NA,NA,NA,MN155439,NA,unjoined,NA,NA,FALSE
Alsophila_perrieriana,NA,NA,NA,AM495791,NA,NA,AM689689,NA,voucher,janssen2503,NA,FALSE
Alsophila_phlebodes,NA,NA,NA,NA,NA,NA,MN155678,NA,unjoined,NA,NA,FALSE
Alsophila_physolepidota,NA,NA,NA,NA,NA,NA,MN155440,NA,unjoined,NA,NA,FALSE
Alsophila_podophylla,NA,NA,NA,NA,NA,NA,NA,MG262389,NA,NA,NA,FALSE
Alsophila_polystichoides,NA,NA,NA,MW138172,NA,NA,NA,NA,unjoined,jhnitta844,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Alsophila_poolii,NA,NA,NA,AM495754,NA,NA,AM689650,NA,voucher,janssen2827,NA,FALSE
Alsophila_portoricensis,NA,NA,NA,KJ082116,NA,NA,NA,NA,unjoined,0118735341,A molecular phylogeny for the trees of Puerto Rico,FALSE
Alsophila_pruinosa,NA,NA,NA,KP337952,NA,NA,NA,NA,unjoined,conant4587,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_pycnoneura,NA,NA,NA,NA,NA,NA,MN155443,NA,unjoined,NA,NA,FALSE
Alsophila_quadrata,NA,NA,NA,AM495780,NA,NA,AM689678,NA,voucher,janssen2790,NA,FALSE
Alsophila_ramispina,AM176426,AM176587,NA,AM177326,AM176482,AM176482,AM410323,NA,voucher,conant4706,NA,FALSE
Alsophila_rebeccae,NA,NA,MF178050,KP338013,NA,NA,MF066474,NA,monophy,NA,NA,FALSE
Alsophila_rigens,NA,NA,NA,KP337954,NA,NA,NA,NA,unjoined,conant4615,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_rolandii,NA,NA,NA,AM495752,NA,NA,AM689648,NA,voucher,janssen2478,NA,FALSE
Alsophila_roroka,NA,NA,NA,NA,NA,NA,MN155444,NA,unjoined,NA,NA,FALSE
Alsophila_rouhaniana,NA,NA,NA,AM495799,NA,NA,AM689698,NA,voucher,janssen2606,NA,FALSE
Alsophila_rubiginosa,NA,NA,NA,NA,NA,NA,MN155445,NA,unjoined,NA,NA,FALSE
Alsophila_saccata,NA,NA,NA,NA,NA,NA,MN155446,NA,unjoined,NA,NA,FALSE
Alsophila_salletii,NA,NA,NA,MT295641,NA,NA,MT295726,NA,voucher,dong4876,NA,FALSE
Alsophila_salvinii,EF463634,EF463361,NA,AM410184,NA,NA,AM410300,NA,voucher,conant4365,NA,FALSE
Alsophila_scandens,NA,NA,NA,NA,NA,NA,MN155685,NA,unjoined,NA,NA,FALSE
Alsophila_schlechteri,NA,NA,NA,NA,NA,NA,MN155686,NA,unjoined,NA,NA,FALSE
Alsophila_schliebenii,NA,NA,NA,AM495768,NA,NA,AM689666,NA,voucher,janssen2652,NA,FALSE
Alsophila_semiamplectens,NA,NA,NA,NA,NA,NA,MN155447,NA,unjoined,NA,NA,FALSE
Alsophila_serratifolia,NA,NA,NA,AM495793,NA,NA,AM689692,NA,voucher,janssen2537,NA,FALSE
Alsophila_setosa,NA,NA,NA,NA,NA,NA,MN155449,NA,unjoined,NA,NA,FALSE
Alsophila_similis,NA,NA,NA,AM495794,NA,NA,AM689693,NA,voucher,janssen2576,NA,FALSE
Alsophila_simulans,NA,NA,NA,AM495784,NA,NA,AM689682,NA,voucher,janssen2802,NA,FALSE
Alsophila_sinuata,NA,NA,NA,AM495795,NA,NA,AM689694,NA,voucher,janssen3021,NA,FALSE
Alsophila_smithii,NA,NA,NA,AM410210,NA,NA,AM410338,NA,voucher,shirley08,NA,FALSE
Alsophila_solomonensis,NA,NA,NA,KP338002,NA,NA,NA,NA,unjoined,wade2959,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_spinulosa,NA,NA,NA,NA,NA,NA,NA,FJ556581,NA,NA,NA,FALSE
Alsophila_stelligera,EF463635,EF463362,NA,AM410198,NA,NA,AM410325,NA,voucher,pintaud411,NA,FALSE
Alsophila_sternbergii,NA,NA,NA,MG718038,NA,NA,NA,NA,unjoined,NA,Can plant DNA barcoding be implemented in species-rich tropical,FALSE
Alsophila_subdubia,NA,NA,NA,KP337998,NA,NA,NA,NA,unjoined,wade2636,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_sumatrana,NA,NA,NA,NA,NA,NA,MN155454,NA,unjoined,NA,NA,FALSE
Alsophila_sundueana,NA,NA,NA,NA,NA,NA,MN155455,NA,unjoined,NA,NA,FALSE
Alsophila_tahitensis,NA,NA,NA,KY099749,NA,NA,NA,NA,unjoined,nitta611,Life cycle matters: DNA barcoding reveals contrasting community,FALSE
Alsophila_tanzaniana,NA,NA,NA,AM495792,NA,NA,AM689690,NA,voucher,janssen2651,NA,FALSE
Alsophila_tryoniana,NA,KX395702,NA,KY684770,NA,NA,MN155456,NA,monophy,NA,NA,FALSE
Alsophila_tsaratananensis,NA,NA,NA,AM495802,NA,NA,AM689701,NA,voucher,janssen2463,NA,FALSE
Alsophila_tuyamae,NA,NA,NA,AB574757,NA,NA,NA,NA,unjoined,NA,Molecular species identification with rich floristic sampling: DNA,FALSE
Alsophila_urbanii,NA,NA,NA,NA,NA,NA,MN155457,NA,unjoined,NA,NA,FALSE
Alsophila_valdesquamata,NA,NA,NA,AM495800,NA,NA,NA,NA,unjoined,janssen2907,"Neoendemism in Madagascan scaly tree ferns results from recent,",FALSE
Alsophila_vieillardii,NA,NA,NA,KP337961,NA,NA,MN155458,NA,voucher,pintaud412,NA,FALSE
Alsophila_viguieri,NA,NA,NA,AM495803,NA,NA,AM689702,NA,voucher,janssen2575,NA,FALSE
Alsophila_walkerae,NA,NA,NA,AM495805,NA,NA,AM689704,NA,voucher,janssen3024,NA,FALSE
Alsophila_weidenbrueckii,NA,NA,NA,NA,NA,NA,MN155460,NA,unjoined,NA,NA,FALSE
Alsophila_wengiensis,NA,NA,NA,KP337956,NA,NA,NA,NA,unjoined,conant4647,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Alsophila_woodwardioides,NA,NA,NA,KY684771,NA,NA,NA,NA,unjoined,gastony21,Increased rates of molecular evolution are associated with smaller,FALSE
Alsophila_woollsiana,NA,NA,NA,KP337979,NA,NA,NA,NA,unjoined,phind6179jholland,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Amauropelta_amambayensis,NA,NA,NA,NA,KT805073,KT805073,KT804997,NA,voucher,tealmeida2384,NA,FALSE
Amauropelta_amphioxypteris,NA,NA,NA,NA,MG818257,MG818257,MG818278,NA,voucher,mscalvarezfuentesal608,NA,FALSE
Amauropelta_angustifrons,NA,NA,NA,LC484385,NA,NA,NA,NA,unjoined,tns764362,An update and reassessment of fern and lycophyte diversity data in,FALSE
Amauropelta_atrovirens,NA,NA,NA,MT657442,NA,NA,NA,NA,unjoined,jnitta2237,Biogeography of Pacific pteridophytes in a global context,FALSE
Amauropelta_balbisii,NA,NA,NA,NA,MG818259,MG818259,MG818280,NA,voucher,mscalvarezfuentesal527,NA,FALSE
Amauropelta_basisceletica,NA,NA,NA,NA,MG818249,MG818249,MG818272,NA,voucher,mscsanchezal82028,NA,FALSE
Amauropelta_beddomei,NA,NA,NA,NA,NA,NA,NA,MT130660,NA,NA,NA,FALSE
Amauropelta_bergiana,NA,NA,NA,KF992414,KT805074,KT805074,KT804998,NA,voucher,egrangaudpacocksn,NA,FALSE
Amauropelta_burkartii,NA,NA,NA,NA,KT805075,KT805075,KT804999,NA,voucher,asalino14781,NA,FALSE
Amauropelta_cheilanthoides,NA,NA,NA,NA,KT805076,KT805076,KT805000,NA,voucher,tealmeida1257,NA,FALSE
Amauropelta_consanguinea,EF463879,EF463539,NA,EF463283,NA,NA,NA,NA,voucher,christenhusz4060,NA,FALSE
Amauropelta_corazonensis,NA,NA,NA,NA,MG818253,MG818253,NA,NA,voucher,mscalvarezfuentesal600,NA,FALSE
Amauropelta_cystopteroides,NA,NA,NA,AB575015,NA,NA,NA,NA,unjoined,tns762749,Molecular species identification with rich floristic sampling: DNA,FALSE
Amauropelta_decurtata,NA,NA,NA,NA,KT805077,KT805077,KT805001,NA,voucher,asalino14751,NA,FALSE
Amauropelta_eriosorus,NA,NA,NA,NA,KT805078,KT805078,KT805002,NA,voucher,tealmeida1535,NA,FALSE
Amauropelta_firma,NA,NA,NA,NA,MG818251,MG818251,NA,NA,voucher,mscalvarezfuentesal556,NA,FALSE
Amauropelta_germaniana,NA,NA,NA,NA,MG818261,MG818262,MG818283,NA,monophy,NA,NA,FALSE
Amauropelta_glanduligera,NA,NA,NA,JN572356,JN572194,JN572194,NA,NA,voucher,pe4419,NA,FALSE
Amauropelta_glandulosolanosa,NA,NA,NA,NA,MG818250,MG818250,MG818273,NA,voucher,mscalvarezfuentesal589,NA,FALSE
